avg_sentence_len,total_word_count,punctuation_count,avg_word_len,label
22.0,374.0,20.0,3.95,0
21.2,212.0,30.0,4.61,0
20.28,507.0,50.0,5.03,0
21.55,237.0,31.0,5.54,1
19.09,210.0,25.0,5.67,1
18.1,525.0,50.0,4.42,0
23.5,658.0,51.0,4.34,0
15.48,387.0,51.0,4.44,0
20.33,183.0,26.0,5.39,1
14.13,212.0,31.0,4.28,0
16.5,165.0,25.0,5.13,0
21.18,466.0,59.0,4.53,0
17.83,214.0,16.0,4.79,0
14.31,644.0,79.0,4.69,0
15.33,138.0,17.0,4.59,1
22.32,625.0,86.0,5.71,1
18.46,443.0,46.0,4.87,0
18.86,547.0,64.0,4.81,0
19.16,594.0,91.0,5.5,1
35.3,353.0,24.0,5.48,1
12.87,386.0,72.0,4.79,0
25.14,176.0,18.0,4.99,1
22.96,528.0,68.0,5.65,1
18.25,365.0,40.0,5.18,1
15.58,405.0,51.0,4.53,0
26.54,345.0,37.0,6.25,1
18.4,92.0,9.0,4.7,1
17.48,437.0,81.0,4.47,1
22.82,251.0,12.0,4.21,0
29.5,236.0,23.0,5.25,1
15.67,376.0,62.0,4.52,0
19.94,618.0,79.0,4.82,0
20.26,385.0,36.0,5.03,1
24.23,315.0,29.0,5.05,1
11.73,129.0,15.0,4.61,1
21.92,263.0,35.0,4.96,0
15.0,285.0,31.0,4.61,0
17.8,356.0,42.0,5.53,1
25.2,252.0,27.0,4.24,0
16.21,454.0,41.0,4.39,0
27.64,304.0,28.0,5.26,1
16.24,341.0,52.0,4.89,0
13.88,236.0,29.0,4.72,1
21.58,410.0,48.0,4.95,0
21.22,191.0,18.0,4.89,1
15.78,284.0,49.0,4.45,0
14.86,327.0,39.0,4.71,0
18.93,511.0,42.0,4.53,0
17.57,492.0,54.0,5.11,0
19.88,318.0,36.0,4.86,1
21.85,721.0,70.0,4.22,0
21.62,346.0,44.0,5.03,0
20.5,164.0,19.0,4.4,0
20.42,490.0,63.0,5.19,1
23.58,283.0,30.0,4.13,0
19.24,404.0,45.0,5.08,1
21.26,659.0,62.0,4.34,0
19.17,345.0,35.0,5.34,1
22.08,265.0,27.0,4.78,1
17.96,449.0,58.0,4.57,0
15.46,201.0,33.0,4.33,0
22.36,246.0,25.0,4.8,1
21.67,195.0,20.0,4.73,0
51.0,561.0,72.0,4.07,0
14.23,185.0,41.0,4.46,0
15.0,375.0,71.0,5.01,0
17.33,260.0,34.0,4.8,1
27.69,360.0,30.0,5.46,1
17.91,394.0,38.0,4.38,0
23.57,825.0,78.0,4.33,0
18.93,265.0,31.0,5.08,1
16.12,129.0,24.0,4.37,0
36.8,368.0,47.0,5.08,1
42.09,463.0,23.0,3.92,0
30.71,215.0,25.0,4.73,0
13.59,367.0,70.0,5.23,0
20.61,371.0,44.0,4.78,1
26.54,345.0,35.0,6.3,1
28.08,337.0,34.0,5.45,1
24.52,515.0,39.0,4.5,0
54.0,756.0,24.0,3.91,0
19.22,442.0,62.0,5.67,1
18.59,316.0,27.0,4.63,1
21.2,106.0,11.0,5.6,1
18.54,482.0,62.0,4.8,1
17.43,122.0,7.0,4.11,1
27.0,324.0,45.0,5.4,1
26.43,370.0,27.0,4.32,0
26.33,158.0,17.0,5.13,0
13.79,262.0,39.0,4.43,0
22.52,518.0,90.0,6.5,1
19.17,345.0,24.0,3.9,0
20.57,473.0,28.0,4.18,0
27.4,137.0,12.0,5.28,1
15.93,446.0,51.0,4.82,0
21.57,151.0,14.0,5.23,1
15.6,156.0,18.0,5.12,1
14.98,614.0,70.0,4.58,0
17.5,735.0,60.0,4.5,0
19.7,394.0,42.0,4.33,0
22.0,308.0,36.0,5.9,1
27.6,276.0,22.0,5.34,1
10.74,333.0,38.0,5.13,1
24.9,722.0,111.0,5.44,0
15.54,202.0,21.0,4.31,0
18.52,389.0,52.0,4.85,1
25.15,327.0,21.0,4.04,0
20.09,462.0,58.0,4.34,0
22.08,265.0,20.0,4.34,0
18.69,243.0,31.0,4.65,1
19.75,158.0,18.0,4.54,1
28.83,346.0,34.0,5.6,1
22.5,180.0,22.0,4.92,1
18.43,129.0,17.0,4.68,1
